Date,Pressure (mb),Wind Speed (kt)
8/23/2005,1008,30
8/24/2005,1007,30
8/24/2005,1007,30
8/24/2005,1006,35
8/24/2005,1003,40
8/25/2005,1000,45
8/25/2005,997,50
8/25/2005,994,55
8/25/2005,988,60
8/26/2005,983,70
8/26/2005,987,65
8/26/2005,979,75
8/26/2005,968,85
8/27/2005,959,90
8/27/2005,950,95
8/27/2005,942,100
8/27/2005,948,100
8/28/2005,941,100
8/28/2005,930,125
8/28/2005,909,145
8/28/2005,902,150
8/29/2005,905,140
8/29/2005,913,125
8/29/2005,923,110
8/29/2005,948,80
8/30/2005,961,50
8/30/2005,978,40
8/30/2005,985,30
8/30/2005,990,30
8/31/2005,994,30
8/31/2005,996,25
